 SGD: sgd_prediction called. Using Biases, K=12, L=0.083, L2=0.04, lr_factor=3.0
      SGD: There are 1029833 nonzero indices in total.
      SGD: global mean is 3.8576341989429355
      SGD : step        1  ( 0% done). fit = 4.0091, test_fit=4.0070, learning_rate=0.09000
      SGD : step 27000001  (45% done). fit = 0.9392, test_fit=1.0018, learning_rate=0.03000
      SGD : step 27600001  (46% done). fit = 0.9390, test_fit=1.0011, learning_rate=0.03000
      SGD : step 28200001  (47% done). fit = 0.9380, test_fit=1.0009, learning_rate=0.03000
      SGD : step 28800001  (48% done). fit = 0.9393, test_fit=1.0008, learning_rate=0.03000
      SGD : step 29400001  (49% done). fit = 0.9378, test_fit=1.0002, learning_rate=0.03000
      SGD : step 30000001  (50% done). fit = 0.9377, test_fit=1.0004, learning_rate=0.00600
      SGD : step 30600001  (51% done). fit = 0.9275, test_fit=0.9909, learning_rate=0.00600
      SGD : step 31200001  (52% done). fit = 0.9256, test_fit=0.9897, learning_rate=0.00600
      SGD : step 31800001  (53% done). fit = 0.9245, test_fit=0.9886, learning_rate=0.00600
      SGD : step 32400001  (54% done). fit = 0.9240, test_fit=0.9883, learning_rate=0.00600
      SGD : step 33000001  (55% done). fit = 0.9238, test_fit=0.9887, learning_rate=0.00600
      SGD : step 33600001  (56% done). fit = 0.9233, test_fit=0.9880, learning_rate=0.00600
      SGD : step 34200001  (57% done). fit = 0.9230, test_fit=0.9880, learning_rate=0.00600
      SGD : step 34800001  (58% done). fit = 0.9227, test_fit=0.9883, learning_rate=0.00600
      SGD : step 35400001  (59% done). fit = 0.9225, test_fit=0.9881, learning_rate=0.00600
      SGD : step 36000001  (60% done). fit = 0.9222, test_fit=0.9876, learning_rate=0.00600
      SGD : step 36600001  (61% done). fit = 0.9221, test_fit=0.9876, learning_rate=0.00600
      SGD : step 37200001  (62% done). fit = 0.9219, test_fit=0.9877, learning_rate=0.00600
      SGD : step 37800001  (63% done). fit = 0.9218, test_fit=0.9881, learning_rate=0.00600
      SGD : step 38400001  (64% done). fit = 0.9216, test_fit=0.9878, learning_rate=0.00600
      SGD : step 39000001  (65% done). fit = 0.9212, test_fit=0.9877, learning_rate=0.00600
      SGD : step 39600001  (66% done). fit = 0.9213, test_fit=0.9874, learning_rate=0.00600
      SGD : step 40200001  (67% done). fit = 0.9204, test_fit=0.9868, learning_rate=0.00150
      SGD : step 40800001  (68% done). fit = 0.9198, test_fit=0.9866, learning_rate=0.00150
      SGD : step 41400001  (69% done). fit = 0.9194, test_fit=0.9863, learning_rate=0.00150
      SGD : step 42000001  (70% done). fit = 0.9192, test_fit=0.9862, learning_rate=0.00150
      SGD : step 42600001  (71% done). fit = 0.9191, test_fit=0.9861, learning_rate=0.00150
      SGD : step 43200001  (72% done). fit = 0.9189, test_fit=0.9858, learning_rate=0.00150
      SGD : step 43800001  (73% done). fit = 0.9189, test_fit=0.9859, learning_rate=0.00150
      SGD : step 44400001  (74% done). fit = 0.9187, test_fit=0.9857, learning_rate=0.00150
      SGD : step 45000001  (75% done). fit = 0.9186, test_fit=0.9858, learning_rate=0.00150
      SGD : step 45600001  (76% done). fit = 0.9186, test_fit=0.9856, learning_rate=0.00150
      SGD : step 46200001  (77% done). fit = 0.9184, test_fit=0.9855, learning_rate=0.00150
      SGD : step 46800001  (78% done). fit = 0.9184, test_fit=0.9856, learning_rate=0.00150
      SGD : step 47400001  (79% done). fit = 0.9183, test_fit=0.9857, learning_rate=0.00150
      SGD : step 48000001  (80% done). fit = 0.9183, test_fit=0.9856, learning_rate=0.00150
      SGD : step 48600001  (81% done). fit = 0.9182, test_fit=0.9856, learning_rate=0.00150
      SGD : step 49200001  (82% done). fit = 0.9181, test_fit=0.9856, learning_rate=0.00150
      SGD : step 49800001  (83% done). fit = 0.9181, test_fit=0.9856, learning_rate=0.00150
      SGD : step 50400001  (84% done). fit = 0.9180, test_fit=0.9855, learning_rate=0.00030
      SGD : step 51000001  (85% done). fit = 0.9179, test_fit=0.9854, learning_rate=0.00030
      SGD : step 51600001  (86% done). fit = 0.9178, test_fit=0.9854, learning_rate=0.00030
      SGD : step 52200001  (87% done). fit = 0.9178, test_fit=0.9853, learning_rate=0.00030
      SGD : step 52800001  (88% done). fit = 0.9177, test_fit=0.9853, learning_rate=0.00030
      SGD : step 53400001  (89% done). fit = 0.9177, test_fit=0.9853, learning_rate=0.00030
      SGD : step 54000001  (90% done). fit = 0.9177, test_fit=0.9852, learning_rate=0.00030
      SGD : step 54600001  (91% done). fit = 0.9176, test_fit=0.9852, learning_rate=0.00030
      SGD : step 55200001  (92% done). fit = 0.9176, test_fit=0.9852, learning_rate=0.00006
      SGD : step 55800001  (93% done). fit = 0.9176, test_fit=0.9852, learning_rate=0.00006
      SGD : step 56400001  (94% done). fit = 0.9176, test_fit=0.9852, learning_rate=0.00006
      SGD : step 57000001  (95% done). fit = 0.9176, test_fit=0.9851, learning_rate=0.00006
      SGD : step 57600001  (96% done). fit = 0.9176, test_fit=0.9851, learning_rate=0.00006
      SGD : step 58200001  (97% done). fit = 0.9176, test_fit=0.9851, learning_rate=0.00006
      SGD : step 58800001  (98% done). fit = 0.9176, test_fit=0.9851, learning_rate=0.00006
      SGD : step 59400001  (99% done). fit = 0.9176, test_fit=0.9851, learning_rate=0.00006
